2025-11-21 04:57:23,627 | INFO  | MainThread | solace_ai_connector.common.logging_config | Root logger successfully configured based on LOGGING_CONFIG_PATH=/home/sathwik/SAM/configs/logging_config.yaml
2025-11-21 04:57:23,645 | INFO  | MainThread | solace_ai_connector.solace_ai_connector | Starting Solace AI Event Connector
2025-11-21 04:57:23,645 | INFO  | MainThread | solace_ai_connector.solace_ai_connector | Creating app orchestrator-agent_app
2025-11-21 04:57:23,688 | INFO  | MainThread | solace_agent_mesh.agent.sac.app | Configuring A2A_ADK_App for Agent: 'OrchestratorAgent' in Namespace: 'default_namespace/'
2025-11-21 04:57:23,688 | INFO  | MainThread | solace_agent_mesh.agent.sac.app | Automatically generated subscriptions for Agent 'OrchestratorAgent': [{'topic': 'default_namespace/a2a/v1/agent/request/OrchestratorAgent'}, {'topic': 'default_namespace/a2a/v1/discovery/agentcards'}, {'topic': 'default_namespace/a2a/v1/agent/response/OrchestratorAgent/>'}, {'topic': 'default_namespace/a2a/v1/agent/status/OrchestratorAgent/>'}, {'topic': 'default_namespace/sam/events/session/>'}]
2025-11-21 04:57:23,689 | INFO  | MainThread | solace_ai_connector.components.component_base | [orchestrator-agent_app_broker_input] [solace_ai_connector.orchestrator-agent_app_implicit_flow.orchestrator-agent_app_broker_input]  Multi-session request/response is enabled.
2025-11-21 04:57:23,689 | INFO  | MainThread | solace_ai_connector.components.component_base | [orchestrator-agent_app_broker_input] [solace_ai_connector.orchestrator-agent_app_implicit_flow.orchestrator-agent_app_broker_input]  Using parent app's broker configuration as default for multi-session request/response.
2025-11-21 04:57:23,689 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[orchestrator-agent_app_broker_input]: reconnection_strategy not provided, using default value of forever_retry
2025-11-21 04:57:23,689 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[orchestrator-agent_app_broker_input]: retry_interval not provided, using default value of 3000 milliseconds
2025-11-21 04:57:56,802 | INFO  | MainThread | solace_ai_connector.common.logging_config | Root logger successfully configured based on LOGGING_CONFIG_PATH=/home/sathwik/SAM/configs/logging_config.yaml
2025-11-21 04:57:56,819 | INFO  | MainThread | solace_ai_connector.solace_ai_connector | Starting Solace AI Event Connector
2025-11-21 04:57:56,819 | INFO  | MainThread | solace_ai_connector.solace_ai_connector | Creating app MathAgent__app
2025-11-21 04:57:56,864 | INFO  | MainThread | solace_agent_mesh.agent.sac.app | Configuring A2A_ADK_App for Agent: 'MathAgent' in Namespace: 'default_namespace/'
2025-11-21 04:57:56,864 | INFO  | MainThread | solace_agent_mesh.agent.sac.app | Automatically generated subscriptions for Agent 'MathAgent': [{'topic': 'default_namespace/a2a/v1/agent/request/MathAgent'}, {'topic': 'default_namespace/a2a/v1/discovery/agentcards'}, {'topic': 'default_namespace/a2a/v1/agent/response/MathAgent/>'}, {'topic': 'default_namespace/a2a/v1/agent/status/MathAgent/>'}, {'topic': 'default_namespace/sam/events/session/>'}]
2025-11-21 04:57:56,865 | INFO  | MainThread | solace_ai_connector.components.component_base | [MathAgent__app_broker_input] [solace_ai_connector.MathAgent__app_implicit_flow.MathAgent__app_broker_input]  Multi-session request/response is enabled.
2025-11-21 04:57:56,865 | INFO  | MainThread | solace_ai_connector.components.component_base | [MathAgent__app_broker_input] [solace_ai_connector.MathAgent__app_implicit_flow.MathAgent__app_broker_input]  Using parent app's broker configuration as default for multi-session request/response.
2025-11-21 04:57:56,865 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[MathAgent__app_broker_input]: reconnection_strategy not provided, using default value of forever_retry
